[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "POST /hub/session/e8de338d-7b1d-db44-a767-9e6f56d7c539/timeouts HTTP/1.1[\r][\n]"
[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "Content-Length: 30[\r][\n]"
[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "Host: 127.0.0.1:7055[\r][\n]"
[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "Connection: Keep-Alive[\r][\n]"
[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_45)[\r][\n]"
[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "Accept-Encoding: gzip,deflate[\r][\n]"
[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "[\r][\n]"
[DEBUG]20151112@09:16:32,965:org.apache.http.wire - http-outgoing-2 >> "{"type":"implicit","ms":10000}"
[DEBUG]20151112@09:16:35,087:org.apache.http.wire - http-outgoing-2 << "HTTP/1.1 200 OK[\r][\n]"
[DEBUG]20151112@09:16:35,087:org.apache.http.wire - http-outgoing-2 << "content-type: application/json; charset=UTF-8[\r][\n]"
[DEBUG]20151112@09:16:35,087:org.apache.http.wire - http-outgoing-2 << "connection: close[\r][\n]"
[DEBUG]20151112@09:16:35,087:org.apache.http.wire - http-outgoing-2 << "content-length: 94[\r][\n]"
[DEBUG]20151112@09:16:35,087:org.apache.http.wire - http-outgoing-2 << "server: httpd.js[\r][\n]"
[DEBUG]20151112@09:16:35,087:org.apache.http.wire - http-outgoing-2 << "date: Thu, 12 Nov 2015 17:16:35 GMT[\r][\n]"
[DEBUG]20151112@09:16:35,087:org.apache.http.wire - http-outgoing-2 << "[\r][\n]"
[DEBUG]20151112@09:16:35,087:org.apache.http.headers - http-outgoing-2 << HTTP/1.1 200 OK
[DEBUG]20151112@09:16:35,087:org.apache.http.headers - http-outgoing-2 << content-type: application/json; charset=UTF-8
[DEBUG]20151112@09:16:35,087:org.apache.http.headers - http-outgoing-2 << connection: close
[DEBUG]20151112@09:16:35,087:org.apache.http.headers - http-outgoing-2 << content-length: 94
[DEBUG]20151112@09:16:35,087:org.apache.http.headers - http-outgoing-2 << server: httpd.js
[DEBUG]20151112@09:16:35,088:org.apache.http.headers - http-outgoing-2 << date: Thu, 12 Nov 2015 17:16:35 GMT
[DEBUG]20151112@09:16:35,088:org.apache.http.wire - http-outgoing-2 << "{"name":"setTimeout","sessionId":"e8de338d-7b1d-db44-a767-9e6f56d7c539","status":0,"value":""}"
[DEBUG]20151112@09:16:35,088:org.apache.http.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-2: Close connection
[DEBUG]20151112@09:16:35,088:org.apache.http.impl.execchain.MainClientExec - Connection discarded
